id_estudiante,id_grupo,fecha,estado,estrato,medio_transporte
744,25,2025-04-03,asistio,4,carro
676,28,2025-03-19,inasistencia,3,moto
307,9,2025-03-16,inasistencia,2,metro
221,6,2025-04-01,asistio,1,carro
312,3,2025-03-30,justificado,2,carro
754,45,2025-03-28,asistio,4,a pie
827,31,2025-03-27,justificado,1,moto
576,37,2025-03-19,asistio,1,metro
765,13,2025-04-07,justificado,1,bicicleta
963,18,2025-03-20,inasistencia,5,bicicleta
236,39,2025-03-10,inasistencia,1,a pie
862,47,2025-03-12,justificado,2,bicicleta
360,14,2025-03-30,asistio,4,carro
575,46,2025-03-24,inasistencia,3,carro
749,43,2025-03-12,inasistencia,4,carro
518,6,2025-03-27,justificado,1,metro
473,35,2025-03-25,inasistencia,2,bicicleta
83,20,2025-04-02,inasistencia,3,metro
431,25,2025-03-28,justificado,5,moto
692,26,2025-03-31,asistio,1,bus
467,42,2025-03-23,asistio,3,metro
811,27,2025-03-17,justificado,4,carro
592,26,2025-03-15,justificado,1,bus
417,11,2025-04-06,asistio,6,moto
585,50,2025-03-31,asistio,1,bicicleta
807,13,2025-03-25,justificado,6,moto
654,5,2025-04-04,justificado,2,metro
380,29,2025-03-25,justificado,4,carro
345,23,2025-03-27,inasistencia,3,metro
293,42,2025-03-09,justificado,4,bus
108,50,2025-03-13,asistio,1,moto
651,49,2025-03-10,inasistencia,2,metro
423,4,2025-03-15,justificado,5,carro
438,1,2025-04-03,asistio,5,metro
558,13,2025-03-16,inasistencia,4,metro
238,41,2025-03-17,justificado,5,moto
410,6,2025-04-05,justificado,3,carro
817,37,2025-03-09,inasistencia,5,metro
672,33,2025-03-25,inasistencia,5,metro
709,30,2025-03-24,asistio,4,bicicleta
84,16,2025-04-01,justificado,2,moto
382,45,2025-03-12,justificado,1,a pie
868,46,2025-04-04,asistio,3,carro
739,26,2025-03-17,justificado,1,carro
298,39,2025-03-31,inasistencia,5,bus
175,39,2025-03-22,inasistencia,3,carro
322,23,2025-03-27,asistio,5,moto
112,50,2025-03-13,inasistencia,5,bicicleta
535,3,2025-03-12,justificado,4,moto
480,27,2025-04-06,inasistencia,5,metro
735,48,2025-03-14,inasistencia,2,moto
682,13,2025-03-25,justificado,4,bicicleta
989,9,2025-04-02,asistio,5,moto
70,27,2025-04-07,asistio,3,bus
800,26,2025-03-22,justificado,3,carro
872,5,2025-03-16,justificado,5,bus
219,5,2025-03-23,asistio,6,a pie
505,34,2025-03-16,asistio,6,metro
261,38,2025-03-24,inasistencia,5,bus
628,25,2025-03-25,inasistencia,5,a pie
728,14,2025-03-09,justificado,1,bicicleta
720,10,2025-03-20,asistio,5,bicicleta
759,43,2025-03-17,justificado,4,carro
803,33,2025-04-07,inasistencia,6,a pie
545,30,2025-03-16,asistio,6,metro
100,40,2025-03-19,asistio,3,bicicleta
834,50,2025-03-10,justificado,5,moto
761,41,2025-03-24,asistio,5,moto
755,45,2025-03-21,asistio,6,bus
538,35,2025-03-12,inasistencia,4,a pie
753,7,2025-03-11,inasistencia,3,moto
752,31,2025-03-19,inasistencia,4,a pie
447,35,2025-03-13,asistio,5,bus
16,23,2025-03-15,inasistencia,2,bicicleta
731,47,2025-03-27,justificado,1,carro
614,30,2025-04-03,asistio,3,bus
995,49,2025-03-09,inasistencia,6,moto
822,23,2025-03-15,asistio,5,bus
7,19,2025-03-19,asistio,4,metro
201,13,2025-03-20,asistio,3,bicicleta
904,5,2025-03-17,inasistencia,2,carro
757,46,2025-04-03,inasistencia,1,a pie
252,48,2025-03-11,inasistencia,3,carro
706,37,2025-03-24,asistio,1,bicicleta
824,13,2025-03-10,justificado,1,moto
950,37,2025-03-09,asistio,1,bus
440,48,2025-03-31,asistio,4,bicicleta
370,35,2025-03-20,inasistencia,3,metro
425,31,2025-03-25,inasistencia,2,moto
283,31,2025-03-24,asistio,6,a pie
207,3,2025-03-26,asistio,6,bus
30,21,2025-03-16,inasistencia,1,moto
205,42,2025-03-30,justificado,5,bicicleta
636,33,2025-03-24,justificado,4,bicicleta
540,15,2025-04-06,justificado,1,a pie
442,26,2025-03-27,justificado,3,bicicleta
170,34,2025-03-12,inasistencia,6,moto
964,25,2025-03-14,justificado,3,a pie
454,32,2025-03-19,justificado,6,bicicleta
686,22,2025-03-14,inasistencia,4,bus
367,45,2025-04-06,justificado,2,bus
165,46,2025-03-21,inasistencia,5,bus
708,1,2025-03-29,inasistencia,5,carro
767,3,2025-03-19,justificado,5,bus
125,3,2025-03-12,asistio,3,moto
783,35,2025-03-24,justificado,2,bicicleta
282,4,2025-04-05,asistio,1,moto
662,14,2025-03-15,justificado,3,metro
271,23,2025-03-26,asistio,3,bus
876,47,2025-03-22,justificado,2,carro
354,25,2025-03-31,asistio,1,moto
323,23,2025-03-13,inasistencia,6,bicicleta
393,26,2025-03-12,justificado,1,bus
257,26,2025-04-05,inasistencia,3,moto
704,30,2025-03-29,asistio,1,metro
471,22,2025-03-18,asistio,1,carro
118,14,2025-03-15,justificado,3,moto
847,9,2025-04-01,inasistencia,3,bicicleta
878,12,2025-04-07,justificado,3,moto
216,1,2025-04-07,inasistencia,1,bus
240,38,2025-03-14,inasistencia,6,moto
156,7,2025-03-19,justificado,2,metro
874,25,2025-03-13,inasistencia,5,bicicleta
818,7,2025-03-11,asistio,6,carro
622,32,2025-04-04,asistio,4,a pie
137,19,2025-03-15,justificado,3,carro
321,12,2025-03-10,asistio,5,a pie
670,14,2025-03-29,inasistencia,6,a pie
779,12,2025-04-03,inasistencia,4,metro
527,33,2025-03-18,inasistencia,3,metro
998,9,2025-03-09,asistio,2,bus
99,14,2025-03-18,asistio,5,bus
413,23,2025-03-27,asistio,4,carro
